Club Name,Total Points
Horouta Waka Hoe Club Inc.,472
Manukau Outrigger Canoe Club,166
Ruamata Waka Ama Club,149
Mareikura Waka Ama Club Incorpo,136
Taniwha Outrigger Canoe Club In,120
Hei Matau Paddlers,116
Te Au Rere Waka Ama Club,109
Mitamitaga o le Pasefika Va'a-a,100
Kaihoe o Ngati Rehia Trust,98
Otaki Waka Hoe Charitable Trust,97
Haeata Ocean Sports Inc,96
Rahui Pokeka Waka Sports,90
Te Paerangi Waka Ama Inc,85
Waitakere Outrigger Canoe Club,74
Turangawaewae Waka Sports,74
Akarana,70
Parihaka Waka Ama Inc,59
Aratika Tamaki Waka Ama Club In,53
Nga Hoe Horo Outrigger Canoe Cl,50
Cook Islands Outriggers Associa,47
TOA Waka Ama Club,45
Te Toki Voyaging Trust,39
Te Puku O Te Ika,39
Auckland Region Outrigger Canoe,38
Te Rau Oranga O Ngati Kahungunu,35
Te Wananga o Aotearoa,35
Wairarapa Waka Ama Canoe Club,31
Whakatu Marae Waka-Ama Club,31
Waka Ama O Whakatane,31
Te Waka Pounamu,30
Hoe Aroha Whanau o Mauao,28
Te Awa Haku,26
Te Uranga O Te Ra,26
Heretaunga Ararau O Ngati Kahun,24
Porirua Canoe Kayak Club Inc.,20
Hawaiki Nui Tuarua Waka Ama,19
YMP Waka Ama,17
Tauranga Moana Outrigger Canoe,15
Hoe Tonga Pacifica Waka Ama Ass,15
Te Pou Herenga Waka Ama Club In,14
Tai Tokerau Polynesian Canoe As,14
Waiheke Waka Ama Club,12
Waikato Dragon Boat & Waka Ama,11
Pakuranga Outrigger Canoe Club,10
Whaingaroa Whanau Hoe Waka,9
Te Waka o Aoraki,9
Tarawera Outrigger Canoe Club,8
Ocean Blue Sports Club,6
Tu Tangi Ora - South Kaipara Co,6
Taranaki Outrigger Canoe Club,6
Wakatipu Waka Ama Club,6
Te Aputa Tira Hoe,5
Tirohanga Waka Ama,5
Hikoikoi Waka Club,5
Te Puu Ao,4
Maraenui Rugby & Sports Associa,4
Te Ringa Miti Tai Heke Whanganu,4
Rangaunu Sports Club,3
Whanganui River Outrigger Canoe,2
Tahiti Region,1
Nga Tai Whakarongo,1
